LABEL	Parent	Definition	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment
LABEL	SC % SPLIT=|	A definition	A 'term editor'	A Alternative term	A alternative definition	A alternative definition source	A created by	A creation date	A comment
Schema	Data stewardship technical concept	1. The organization or structure for a database. The activity of data modeling leads to a schema. (The plural form is schemata.) The term is used in discussing both relational databases and object-oriented databases. The term sometimes seems to refer to a visualization of a structure and sometimes to a formal text-oriented description. Two common types of database schemata are the star schema and the snowflake schema. 2. A formal expression of an inference rule for artificial intelligence (AI) computing. The expression is a generalized axiom in which specific values or cases are substituted for each symbol in the axiom to derive a specific inference.	Allyson Lister|Peter McQuilton
Scientist	Researcher	A person who is studying or has expert knowledge of one or more of the natural or physical sciences.	Allyson Lister|Peter McQuilton
Search repositories and knowledge-bases	'has/wants competency in' some 'Data stewardship activity'|Data discovery	The ability to search repositories and knowledge-bases.	Peter McQuilton	Repository search|database search|searching databases|searching repositories
Searching via algorithms and software	Search repositories and knowledge-bases	To be able to search using software with a GUI or terminal access. For example using BLAST or genomic search tools in the life sciences.	Peter McQuilton	Algorithm searching|Programmatic search|batch search
Select and apply license	Ethical application of patents, licenses	Choose the proper license considering types of project data and clearly indicate (apply) the license chosen in the project work.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Self-archiving	Data archiving	Prepare the data in preferred types and the data documentation. Choose the data repository and data license, deposit the data in the repository.	Allyson Lister|Celia van Gelder|Mateusz Kuzak|Yan Wang
Semantic data	'contributes to the implementation of' some 'I2. (Meta)data use vocabularies that follow FAIR principles'|Data stewardship technical concept	Data that are tagged with particular metadata that can be used to derive relationships between data.	Allyson Lister|Peter McQuilton
Semantic interoperability	'contributes to the implementation of' some 'I2. (Meta)data use vocabularies that follow FAIR principles'|Data stewardship technical concept	The ability of computer systems to transmit data with unambiguous, shared meaning. Semantic interoperability is a requirement to enable machine computable logic, inferencing, knowledge discovery, and data federation between information systems. Semantic interoperability is achieved when the information transferred has, in its communicated form, all of the meaning required for the receiving system to interpret it correctly, even when the algorithms used by the receiving system are unknown to the sending system. Syntactic interoperability is a prerequisite to semantic interoperability.	Allyson Lister|Peter McQuilton
Semi-structured data	Data stewardship technical concept	Data that have not been organized into a specialized repository, such as a database, but that nevertheless have associated information, such as metadata, that makes them more amenable to processing than raw data. Semi-structured data lie somewhere between structured and unstructured data. They are not organized in a complex manner that makes sophisticated access and analysis possible. However, they may have information associated with them, such as metadata tagging that allows elements contained to be addressed. Example: A Word document is generally considered to be unstructured data. However, metadata tags could be added in the form of keywords and other metadata that represent the document content and make it easier for that document to be found when people search for those terms — the data are now semi-structured. Nevertheless, the document still lacks the complex organization of a database, so falls short of being fully structured data.	Allyson Lister|Peter McQuilton
Service level management	'has/wants competency in' some 'Data stewardship activity'|'has/wants competency in' some 'Skills for resource management'|Resource management	It can be considered as a negotiated agreement between the customer and vendor which are acceptable to both parties with respect to costs and expectations in order to support the business process.	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel	SLM
Short-term preservation	Data stewardship technical concept	Short-term preservation. Access to digital materials either for a defined period of time while use is predicted but which does not extend beyond the foreseeable future and/or until it becomes inaccessible because of changes in technology.	Allyson Lister|Peter McQuilton
Skills for resource management	Resource management	Bin for Skills related to Resource management	leightonlc
Skills related to authorisation management	Authorisation management	Bin for Skills needed for Authorization management.	leightonlc
Skills related to change management	Change management	Bin for Skills needed for Change management.	leightonlc
Skills related to cloud computing environment management	Cloud computing environment management	Bin for Skills needed for Cloud computing environment management.					leightonlc	2019-10-17T15:14:37.180683Z
Skills related to data management cost management	Data management costs management	Bin for Skills needed for Data management cost management.	leightonlc
Skills related to funding acquisition management	Funding acquisition management	Bin for Skills needed for Funding acquisition management.	leightonlc
Skills related to high performance computing management	High performance computing management	Bin for Skills needed for High performance computing management.	leightonlc
Skills related to identity management	Identity management	Bin for Skills needed for Identity management.	leightonlc
Skills related to preservation costs management	Preservation costs management	Bin for Skills needed for Preservation costs management.					leightonlc	2019-10-17T15:17:32.816013Z
Skills related to provenance information management	Provenance information management	Bin for Skills needed for Provenance information management.					leightonlc	2019-10-17T15:17:02.313138Z
Skills related to service level management	Service level management	Bin for Skills needed for Service level management.					leightonlc	2019-10-17T15:18:53.731967Z
Skills related to storage management	Storage management	Bin for Skills needed for Storage management.	leightonlc
Skills related to workflow technologies management	Workflow technologies management	Bin for Skills needed for Workflow technologies management.					leightonlc	2019-10-17T15:15:55.86138Z
Software	Data stewardship technical concept	A set of instructions that direct a computer to do a specific task.	Allyson Lister|Peter McQuilton
Software engineer	Role		Allyson Lister						AL 16.3.22 Added as part of FAIR cookbook integration.
Software preservation	Archiving	Software preservation involves the collection and long-term storage of software for archiving as well as maintaining availability and accessibility.	Allyson Lister|Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc						AL 8.2.22: Refactored "software review and preservation" to "software preservation", as the review process is not within the remit of terms4FAIRskills. Added definition and source.
Stakeholder engagement on societal impact	Research integrity, attribution, impact awareness	Identify and engage in dialogue with stakeholders affected by the research, or by making its outputs FAIR.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Standard	Data stewardship technical concept	A document that applies collectively to codes, specifications, recommended practices, classifications, test methods, and guides, which have been prepared by a standards developing organization or group, and published in accordance with established procedures.	Allyson Lister|Peter McQuilton
Standard Operating Procedure	Data stewardship technical concept	Detailed, written instructions to achieve uniformity of the performance of a specific function.	Allyson Lister|Peter McQuilton
Storage management	'has/wants competency in' some 'A knowledge for resource management'|'has/wants competency in' some 'Data stewardship activity'|Resource management	The term storage management encompasses the technologies and processes organizations use to maximize or improve the performance of their data storage resources. It is a broad category that includes  virtualization, replication, mirroring, security, compression, traffic analysis, process automation, storage provisioning and related techniques.	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel
Storage security management	Information security	Manage the assessment, implementation and monitoring of secure storage protocols.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Storage security risk assessment and mitigation	Storage security management	Detect and analysis security risk of storage periodically, and minimize the impact of the risks detected	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Strategic/long-term planning	Project management activities	An organization's process of defining its strategy or direction in the context of FAIR project management activities, both in the context of current knowledge and unknown factors in the future.	Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
Structural metadata	'contributes to the implementation of' some 'F2. Data are described with rich metadata'|Metadata	A type of metadata that indicates how compound objects are put together (e.g., how pages are ordered to form chapters; how data are organized in a table; how datasets are organized in a collection) 2. The underlying structural metadata of digital objects that tells computers how to assemble them.	Allyson Lister|Peter McQuilton
Structured data	Data stewardship technical concept	Data whose elements have been organized into a consistent format and data structure within a defined data model such that the elements can be easily addressed, organized and accessed in various combinations to make better use of the information, such as in a relational database.	Allyson Lister|Peter McQuilton
Syntactic interoperability	Data stewardship technical concept	Syntactic interoperability defines the structure or format of data exchange and is achieved through tools such as XML or SQL Standards.	Allyson Lister|Peter McQuilton
System administrator	Role		Allyson Lister						AL 16.3.22: Added as part of FAIR Cookbook integration.
System metadata	'contributes to the implementation of' some 'F2. Data are described with rich metadata'|Metadata	Digital entity properties that are generated by the data management system (e.g., creation time; owner; storage location; data retention period; the length of time a digital entity will be retained).	Allyson Lister|Peter McQuilton
Tactical/short-term planning	Project management activities		Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
Technical metadata	'contributes to the implementation of' some 'F2. Data are described with rich metadata'|Metadata	Describes the technical processes used to produce, or required to use a digital object.	Allyson Lister|Peter McQuilton
Terminology manager	Manager		Allyson Lister						AL 15.3.22: Added for FAIR Cookbook integration.
Text file	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	A Text file is a kind of computer file that is structured as a sequence of lines of electronic text. A text file exists stored as data within a computer file system.	Allyson Lister|Peter McQuilton						AL 9.3.22: The CASRAI term (https://casrai.org/term/text-file) had an unsuitable definition, and therefore was removed.
The use of FAIR and open research tools or services	Using FAIR and open research tools or services	Understand how to use FAIR and open research tools and services.	Hugh Shanahan
Trainer/teacher	Role
Trusted Digital Repository	Data stewardship technical concept	An infrastructure component that provides reliable, long-term access to managed digital resources. It stores, manages, and curates digital objects and returns their bit streams when a request is issued. Trusted repositories undergo regular assessments according to a set of rules such as defined by Data Seal of Approval (DSA) or TRAC (ISO 16363). It is well understood that such an assessment has the potential of increasing trust from its depositors and users, but it will not be the only criterion for users. Repositories can be at different stages of assessments. However, it is evident that certain quality criteria need to be met to distinguish trusted repositories from all types of other entities that store data such as notebooks or lab servers.	Allyson Lister|Peter McQuilton
Understand data ownership and access policies	Access control and management	Learn about data copyright laws, licennsing and other legal aspects of data access. Understand the application of those laws at the project level.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Understand information security challenges	Information security	Know the security requirements on the organization regarding different types of information Know the current organizational policy, infrastructure and capacity on information security.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Understand legal background of licensing	Ethical application of patents, licenses	Learn about  data licensing, the types of data licences and its legal implications. Understand the application procedure of data licences.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Understand legal background of patents	Ethical application of patents, licenses	Learn about the types of patents and its legal implications. Understand the application procedure of patents.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Understand open access publishing	Open access publishing	Know about the open access publishing procedure, journals' policies on OA publishing, project funder and institutions policy as well as the financial support on OA publishing	Celia van Gelder|Mateusz Kuzak|Yan Wang
Understand research code of conduct	Research integrity, attribution, impact awareness	Understand how the governing principles of research integrity and FAIR overlap	Angus Whyte|Celia van Gelder
Understand societal impact of research	Research integrity, attribution, impact awareness	Anticipate possible implications of the research and making its outputs FAIR, reflecting on rmotivations and areas of uncertainty	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Understand storage security challanges	Storage security management	Understand the current storage security status and the preferred status, as well as the barriers between them.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Understanding FAIR and open research challenges in your organization	Develop open research strategy and vision	Understand the FAIR and open research practices, and the research landscape / current data management practices in the organization.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Understanding persistent identifiers	'supports implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Exposing data						Peter McQuilton	2020-10-02T14:54:27.168274Z
Uniform resource identifier	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Identifier	A string of characters used to identify or name a resource on the Internet. Such identification enables interaction with representations of the resource over a network, typically the World Wide Web, using specific protocols. MIT data management and publishing	Allyson Lister|Peter McQuilton
Universally Unique Identifier	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Identifier	A 128-bit number used to guarantee unique identity for different objects on the internet over time. File system partitions.	Allyson Lister|Peter McQuilton	UUID
University teaching	Data stewardship activity	The application of a comprehensive knowledge of a discipline or disciplines to the development of expertise and the generation of new knowledge through research, and the planning and presentation of courses of study for undergraduates and graduates in universities.	Allyson Lister|Peter McQuilton
Unstructured data	Data stewardship technical concept	Data that have not been organized into a format and identifiable data structure that makes them easy to access and process. These data can often be searched as long as they are digital, but they are difficult to use for computer analyses.	Allyson Lister|Peter McQuilton
Usable data	Data stewardship technical concept	Data that can be understood and used without additional information. Usable data are delivered in a form that meets the needs of different end-user audiences, is ready for the tasks that the end-user needs to accomplish, and that has been adapted to the end-user’s needs (not the other way around). Usable data have been cleaned, structured, are in machine readable format, fully documented, and ready for analysis and interpretation.	Allyson Lister|Peter McQuilton
Use of aggregator sites	Search repositories and knowledge-bases	To be able to search and understand the results from dataset aggregrator sites. To understand the implications of the provenance of the data and how to integrate and analyse data with differing metadata.	Peter McQuilton	Searching aggregator sites
Use of persistent, resolvable identifiers (PIDs)	'supports implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Exposing data	The use of persistent identifiers or PIDs to uniquely and persistently identify an entity.	Allyson Lister|Nancy Hoebelheinrich|Peter McQuilton
User acceptance testing	Data stewardship activity	A phase of development where the product is tested in the real world by the intended audience. The experiences of the early users are forwarded back to the developers who make final changes before releasing the product.	Allyson Lister|Peter McQuilton
Using FAIR and open research tools or services	FAIR training						HughShanahan	2019-10-18T08:38:59.038306Z
Using persistent identifiers	'supports implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Understanding persistent identifiers						Peter McQuilton	2020-10-02T14:22:51.569762Z
Version control	Data stewardship technical concept	Control over time of data, computer code, software, and documents that allows for the ability to revert to a previous revision, which is critical for data traceability, tracking edits, and correcting mistakes. Version control generates a (changed) copy of a data object that is uniquely labeled with a version number. The intent is to track changes to a data object, by making versioned copies. Note that a version is different from a backup copy, which is typically a copy made at a specific point in time, or a replica.	Allyson Lister|Peter McQuilton
Webinar	Learning medium		Peter McQuilton				Peter McQuilton	2020-10-01T20:53:15.691824Z
Wiki site	Online documentation						Peter McQuilton	2020-10-01T21:03:37.147424Z
Workflow technologies management	'has/wants competency in' some 'Data stewardship activity'|'has/wants competency in' some 'Skills for resource management'|Resource management	The process of setting up environments for workflow technologies.	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel
